week,player_id,player,pos,team,team_name,g,snaps,targets,rec,rec_yds,air_yds,yac,td,adot,racr,wopr,target_pct,air_pct,half_ppr_pts,ppr_pts,std_pts,half_ppr_ppg,ppr_ppg,std_ppg,touches,touches_pg
5,00-0037197,Isiah Pacheco,RB,KC,Chiefs,1,40,3,3,20,-8,28,0,-2.6667,-2.5,9.83,7.5,-2.03,7.1,8.6,5.6,7.1,8.6,5.6,10,10
5,00-0033923,Kareem Hunt,RB,KC,Chiefs,1,21,1,1,8,2,6,0,2.0,4.0,4.1,2.5,0.51,18.2,18.7,17.7,18.2,18.7,17.7,8,8
5,00-0033857,JuJu Smith-Schuster,WR,KC,Chiefs,1,42,3,2,17,9,10,0,3.0,1.8889,12.84,7.5,2.28,2.7,3.7,1.7,2.7,3.7,1.7,2,2
5,00-0038104,Tyquan Thornton,WR,KC,Chiefs,1,29,5,3,90,129,14,0,25.8,0.6977,41.61,12.5,32.66,10.5,12.0,9.0,10.5,12.0,9.0,3,3
5,00-0039894,Xavier Worthy,WR,KC,Chiefs,1,49,9,6,42,117,7,0,13.0,0.359,54.48,22.5,29.62,8.1,11.1,5.1,8.1,11.1,5.1,7,7
5,00-0035662,Marquise Brown,WR,KC,Chiefs,1,33,8,4,48,119,19,0,14.875,0.4034,51.09,20.0,30.13,6.8,8.8,4.8,6.8,8.8,4.8,4,4
5,00-0040719,Bhayshul Tuten,RB,JAC,Jaguars,1,12,1,1,5,-5,10,0,-5.0,-1.0,4.33,4.0,-2.39,1.6,2.1,1.1,1.6,2.1,1.1,5,5
5,00-0040718,Travis Hunter,WR,JAC,Jaguars,1,39,3,3,64,48,16,0,16.0,1.3333,34.08,12.0,22.97,7.9,9.4,6.4,7.9,9.4,6.4,3,3
5,00-0036973,Travis Etienne,RB,JAC,Jaguars,1,34,4,3,9,3,11,0,0.75,3.0,25.0,16.0,1.44,7.3,8.8,5.8,7.3,8.8,5.8,15,15
5,00-0040782,Isaiah Bond,WR,CLE,Browns,1,40,7,2,29,94,1,0,13.4286,0.3085,64.45,21.88,45.19,3.9,4.9,2.9,3.9,4.9,2.9,2,2
5,00-0037267,Jerome Ford,RB,CLE,Browns,1,26,2,2,20,-7,27,0,-3.5,-2.8571,7.02,6.25,-3.37,4.8,5.8,3.8,4.8,5.8,3.8,7,7
5,00-0036407,Jerry Jeudy,WR,CLE,Browns,1,63,5,2,15,49,3,0,9.8,0.3061,39.93,15.63,23.56,2.5,3.5,1.5,2.5,3.5,1.5,2,2
5,00-0040162,Dylan Sampson,RB,CLE,Browns,1,7,2,1,6,-4,6,0,-2.0,-1.5,8.03,6.25,-1.92,0.7,1.2,0.2,0.7,1.2,0.2,2,2
5,00-0039379,Jamari Thrash,WR,CLE,Browns,1,28,1,1,22,15,7,0,15.0,1.4667,9.74,3.13,7.21,2.7,3.2,2.2,2.7,3.2,2.2,1,1
5,00-0036322,Justin Jefferson,WR,MIN,Vikings,1,65,11,7,123,166,40,0,15.0909,0.741,96.95,32.35,69.17,15.8,19.3,12.3,15.8,19.3,12.3,7,7
5,00-0037525,Jordan Mason,RB,MIN,Vikings,1,43,4,3,4,-19,21,0,-4.75,-0.2105,12.11,11.76,-7.92,13.1,14.6,11.6,13.1,14.6,11.6,16,16
5,00-0037291,Jalen Nailor,WR,MIN,Vikings,1,42,4,3,27,29,12,0,7.25,0.931,26.11,11.76,12.08,5.7,7.2,4.2,5.7,7.2,4.2,4,4
5,00-0040784,Quinshon Judkins,RB,CLE,Browns,1,39,2,1,18,1,16,0,0.5,18.0,9.71,6.25,0.48,13.3,13.8,12.8,13.3,13.8,12.8,24,24
5,00-0036414,Cam Akers,RB,MIN,Vikings,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.28,5.28,5.28,5.28,5.28,5.28,0,0
5,00-0038440,Zavier Scott,RB,MIN,Vikings,1,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8,1.8,1.8,1.8,5,5
5,00-0038994,Jordan Addison,WR,MIN,Vikings,1,49,6,5,41,46,12,1,7.6667,0.8913,39.89,17.65,19.17,12.6,15.1,10.1,12.6,15.1,10.1,5,5
5,00-0039920,Malachi Corley,WR,CLE,Browns,1,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,1.1,1.1,1,1
5,00-0040130,Jayden Higgins,WR,HOU,Texans,1,39,4,4,32,25,7,0,6.25,1.28,26.11,12.9,9.65,5.2,7.2,3.2,5.2,7.2,3.2,4,4
5,00-0036554,Nico Collins,WR,HOU,Texans,1,40,5,4,52,64,16,1,12.8,0.8125,41.49,16.13,24.71,14.0,16.0,12.0,14.0,16.0,12.0,5,5
5,00-0034791,Nick Chubb,RB,HOU,Texans,1,24,1,0,0,3,0,0,3.0,0.0,5.65,3.23,1.16,12.1,12.1,12.1,12.1,12.1,12.1,11,11
5,00-0038618,Xavier Hutchinson,WR,HOU,Texans,1,47,3,3,18,17,1,2,5.6667,1.0588,19.11,9.68,6.56,15.3,16.8,13.8,15.3,16.8,13.8,3,3
5,00-0040583,Woody Marks,RB,HOU,Texans,1,27,1,0,0,0,0,0,0.0,0.0,4.84,3.23,0.0,2.4,2.4,2.4,2.4,2.4,2.4,7,7
