week,player_id,player,pos,team,team_name,g,snaps,targets,rec,rec_yds,air_yds,yac,td,adot,racr,wopr,target_pct,air_pct,half_ppr_pts,ppr_pts,std_pts,half_ppr_ppg,ppr_ppg,std_ppg,touches,touches_pg
2,00-0040782,Isaiah Bond,WR,CLE,Browns,1,28,3,1,6,9,12,0,3.0,0.6667,13.35,7.32,3.4,2.0,2.5,1.5,2.0,2.5,1.5,2,2
2,00-0037267,Jerome Ford,RB,CLE,Browns,1,35,6,5,23,-8,27,0,-1.3333,-2.875,19.84,14.63,-3.02,7.9,10.4,5.4,7.9,10.4,5.4,11,11
2,00-0036407,Jerry Jeudy,WR,CLE,Browns,1,64,8,4,51,105,9,0,13.125,0.4857,57.0,19.51,39.62,7.1,9.1,5.1,7.1,9.1,5.1,4,4
2,00-0040162,Dylan Sampson,RB,CLE,Browns,1,17,3,3,13,7,6,1,2.3333,1.8571,12.82,7.32,2.64,9.4,10.9,7.9,9.4,10.9,7.9,7,7
2,00-0038979,Cedric Tillman,WR,CLE,Browns,1,69,7,2,22,72,-1,1,10.2857,0.3056,44.63,17.07,27.17,9.2,10.2,8.2,9.2,10.2,8.2,2,2
2,00-0039379,Jamari Thrash,WR,CLE,Browns,1,20,1,1,5,3,2,0,3.0,1.6667,4.45,2.44,1.13,1.0,1.5,0.5,1.0,1.5,0.5,1,1
2,00-0034975,Justice Hill,RB,BAL,Ravens,1,22,3,3,18,-8,26,0,-2.6667,-2.25,14.01,10.71,-2.94,4.0,5.5,2.5,4.0,5.5,2.5,6,6
2,00-0039064,Zay Flowers,WR,BAL,Ravens,1,44,11,7,75,134,24,0,12.1818,0.5597,93.41,39.29,49.26,11.4,14.9,7.9,11.4,14.9,7.9,8,8
2,00-0032764,Derrick Henry,RB,BAL,Ravens,1,34,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,11,11
2,00-0036550,Rashod Bateman,WR,BAL,Ravens,1,33,4,2,15,31,6,0,7.75,0.4839,29.41,14.29,11.4,2.5,3.5,1.5,2.5,3.5,1.5,2,2
2,00-0030564,DeAndre Hopkins,WR,BAL,Ravens,1,10,2,2,64,64,0,1,32.0,1.0,27.18,7.14,23.53,13.4,14.4,12.4,13.4,14.4,12.4,2,2
2,00-0040784,Quinshon Judkins,RB,CLE,Browns,1,20,3,3,10,2,8,0,0.6667,5.0,11.5,7.32,0.75,8.6,10.1,7.1,8.6,10.1,7.1,13,13
2,00-0039792,Devontez Walker,WR,BAL,Ravens,1,13,2,2,26,26,0,2,13.0,1.0,17.41,7.14,9.56,15.6,16.6,14.6,15.6,16.6,14.6,2,2
2,00-0036630,Tylan Wallace,WR,BAL,Ravens,1,28,2,2,25,18,7,1,9.0,1.3889,15.35,7.14,6.62,9.5,10.5,8.5,9.5,10.5,8.5,2,2
2,00-0036410,Tee Higgins,WR,CIN,Bengals,1,60,8,3,56,105,16,1,13.125,0.5333,48.04,18.6,28.77,13.1,14.6,11.6,13.1,14.6,11.6,3,3
2,00-0036900,Ja'Marr Chase,WR,CIN,Bengals,1,66,16,14,165,112,92,1,7.0,1.4732,77.29,37.21,30.68,29.5,36.5,22.5,29.5,36.5,22.5,14,14
2,00-0038597,Chase Brown,RB,CIN,Bengals,1,49,3,2,18,8,10,0,2.6667,2.25,12.0,6.98,2.19,7.5,8.5,6.5,7.5,8.5,6.5,18,18
2,00-0040719,Bhayshul Tuten,RB,JAC,Jaguars,1,18,2,2,32,-11,43,1,-5.5,-2.9091,4.67,4.76,-3.54,14.4,15.4,13.4,14.4,15.4,13.4,10,10
2,00-0040718,Travis Hunter,WR,JAC,Jaguars,1,42,6,3,22,30,22,0,5.0,0.7333,28.18,14.29,9.65,3.7,5.2,2.2,3.7,5.2,2.2,3,3
2,00-0040238,LeQuint Allen Jr.,RB,JAC,Jaguars,1,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,2,2
2,00-0036973,Travis Etienne,RB,JAC,Jaguars,1,47,3,2,18,-10,25,1,-3.3333,-1.8,8.46,7.14,-3.22,15.9,16.9,14.9,15.9,16.9,14.9,16,16
2,00-0036626,Dyami Brown,WR,JAC,Jaguars,1,57,7,5,57,57,12,1,8.1429,1.0,37.83,16.67,18.33,15.1,17.6,12.6,15.1,17.6,12.6,6,6
2,00-0039893,Brian Thomas Jr.,WR,JAC,Jaguars,1,67,12,4,49,166,1,0,13.8333,0.2952,80.22,28.57,53.38,6.9,8.9,4.9,6.9,8.9,4.9,4,4
2,00-0038619,Andrei Iosivas,WR,CIN,Bengals,1,58,5,1,12,62,1,0,12.4,0.1935,29.33,11.63,16.99,1.7,2.2,1.2,1.7,2.2,1.2,1,1
2,00-0033375,Tim Patrick,WR,JAC,Jaguars,1,12,1,0,0,10,0,0,10.0,0.0,5.82,2.38,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,00-0038839,Mitchell Tinsley,WR,CIN,Bengals,1,10,1,1,13,13,0,1,13.0,1.0,5.98,2.33,3.56,7.8,8.3,7.3,7.8,8.3,7.3,1,1
2,00-0038606,Parker Washington,WR,JAC,Jaguars,1,17,6,6,99,38,43,0,6.3333,2.6053,29.98,14.29,12.22,12.9,15.9,9.9,12.9,15.9,9.9,6,6
2,00-0040727,Tre Harris,WR,LAC,Chargers,1,18,3,2,34,32,9,0,10.6667,1.0625,25.85,11.11,13.11,4.4,5.4,3.4,4.4,5.4,3.4,2,2
2,00-0040666,Omarion Hampton,RB,LAC,Chargers,1,36,2,1,1,2,3,0,1.0,0.5,11.68,7.41,0.82,3.0,3.5,2.5,3.0,3.5,2.5,9,9
2,00-0030279,Keenan Allen,WR,LAC,Chargers,1,32,7,5,61,54,21,1,7.7143,1.1296,54.38,25.93,22.13,14.6,17.1,12.1,14.6,17.1,12.1,5,5
2,00-0036893,Najee Harris,RB,LAC,Chargers,1,20,2,2,20,5,15,0,2.5,4.0,12.55,7.41,2.05,5.8,6.8,4.8,5.8,6.8,4.8,10,10
2,00-0038544,Quentin Johnston,WR,LAC,Chargers,1,44,7,3,71,115,17,1,16.4286,0.6174,71.88,25.93,47.13,14.4,15.9,12.9,14.4,15.9,12.9,4,4
2,00-0039915,Ladd McConkey,WR,LAC,Chargers,1,43,5,5,48,32,16,0,6.4,1.5,36.96,18.52,13.11,7.3,9.8,4.8,7.3,9.8,4.8,5,5
2,00-0036358,CeeDee Lamb,WR,DAL,Cowboys,1,82,11,9,112,121,16,0,11.0,0.9256,55.93,21.15,34.57,15.7,20.2,11.2,15.7,20.2,11.2,9,9
2,00-0037247,George Pickens,WR,DAL,Cowboys,1,79,9,5,68,100,22,1,11.1111,0.68,45.96,17.31,28.57,15.3,17.8,12.8,15.3,17.8,12.8,5,5
2,00-0035243,Miles Sanders,RB,DAL,Cowboys,1,20,2,2,4,-12,16,0,-6.0,-0.3333,3.37,3.85,-3.43,8.9,9.9,7.9,8.9,9.9,7.9,7,7
2,00-0037666,Jalen Tolbert,WR,DAL,Cowboys,1,58,4,2,16,30,0,0,7.5,0.5333,17.54,7.69,8.57,2.6,3.6,1.6,2.6,3.6,1.6,2,2
2,00-0037801,KaVontae Turpin,WR,DAL,Cowboys,1,14,4,4,47,31,16,1,7.75,1.5161,17.74,7.69,8.86,13.3,15.3,11.3,13.3,15.3,11.3,6,6
2,00-0036997,Javonte Williams,RB,DAL,Cowboys,1,64,7,6,33,-15,48,0,-2.1429,-2.2,17.19,13.46,-4.29,22.0,25.0,19.0,22.0,25.0,19.0,24,24
2,00-0040715,Cam Skattebo,RB,NYG,Giants,1,35,3,2,14,8,10,0,2.6667,1.75,12.34,7.5,1.56,12.9,13.9,11.9,12.9,13.9,11.9,13,13
2,00-0039337,Malik Nabers,WR,NYG,Giants,1,66,13,9,167,263,21,2,20.2308,0.635,84.71,32.5,51.37,33.2,37.7,28.7,33.2,37.7,28.7,9,9
