week,player_id,player,pos,team,team_name,g,snaps,targets,rec,rec_yds,air_yds,yac,td,adot,racr,wopr,target_pct,air_pct,half_ppr_pts,ppr_pts,std_pts,half_ppr_ppg,ppr_ppg,std_ppg,touches,touches_pg
6,00-0039798,Isaiah Davis,RB,NYJ,Jets,1,15,1,1,-1,-1,0,0,-1.0,1.0,9.15,6.67,-1.22,0.6,1.1,0.1,0.6,1.1,0.1,3,3
6,00-0038120,Breece Hall,RB,NYJ,Jets,1,42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,5.9,5.9,5.9,5.9,22,22
6,00-0036427,Tyler Johnson,WR,NYJ,Jets,1,11,1,0,0,-2,0,0,-2.0,0.0,8.29,6.67,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,00-0033943,Josh Reynolds,WR,NYJ,Jets,1,50,3,3,25,19,6,0,6.3333,1.3158,46.22,20.0,23.17,4.0,5.5,2.5,4.0,5.5,2.5,3,3
6,00-0037740,Garrett Wilson,WR,NYJ,Jets,1,48,8,3,13,38,3,0,4.75,0.3421,112.44,53.33,46.34,2.8,4.3,1.3,2.8,4.3,1.3,3,3
6,00-0040730,RJ Harvey,RB,DEN,Broncos,1,17,4,4,21,-13,34,0,-3.25,-1.6154,16.76,15.38,-9.03,4.5,6.5,2.5,4.5,6.5,2.5,6,6
6,00-0039868,Troy Franklin,WR,DEN,Broncos,1,35,4,3,19,20,13,0,5.0,0.95,32.8,15.38,13.89,3.6,5.1,2.1,3.6,5.1,2.1,4,4
6,00-0036158,J.K. Dobbins,RB,DEN,Broncos,1,30,1,0,0,-4,0,0,-4.0,0.0,3.82,3.85,-2.78,4.0,4.0,4.0,4.0,4.0,4.0,14,14
6,00-0038976,Marvin Mims Jr.,WR,DEN,Broncos,1,21,3,2,30,59,32,0,19.6667,0.5085,45.99,11.54,40.97,3.8,4.8,2.8,3.8,4.8,2.8,3,3
6,00-0034348,Courtland Sutton,WR,DEN,Broncos,1,48,3,1,17,30,2,0,10.0,0.5667,31.89,11.54,20.83,2.2,2.7,1.7,2.2,2.7,1.7,1,1
6,00-0040582,Arian Smith,WR,NYJ,Jets,1,34,1,0,0,26,0,0,26.0,0.0,32.2,6.67,31.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,00-0040134,Pat Bryant,WR,DEN,Broncos,1,35,2,2,22,10,12,0,5.0,2.2,16.4,7.69,6.94,3.2,4.2,2.2,3.2,4.2,2.2,2,2
6,00-0038794,Jaleel McLaughlin,RB,DEN,Broncos,1,6,1,0,0,-5,0,0,-5.0,0.0,3.34,3.85,-3.47,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,00-0040719,Bhayshul Tuten,RB,JAC,Jaguars,1,11,3,2,14,6,12,0,2.0,2.3333,12.03,7.14,1.88,3.8,4.8,2.8,3.8,4.8,2.8,4,4
6,00-0040718,Travis Hunter,WR,JAC,Jaguars,1,59,7,4,15,25,20,0,3.5714,0.6,30.47,16.67,7.81,3.5,5.5,1.5,3.5,5.5,1.5,4,4
6,00-0040238,LeQuint Allen Jr.,RB,JAC,Jaguars,1,18,2,1,10,-4,6,0,-2.0,-2.5,6.27,4.76,-1.25,1.7,2.2,1.2,1.7,2.2,1.2,2,2
6,00-0036973,Travis Etienne,RB,JAC,Jaguars,1,47,5,4,28,-13,37,0,-2.6,-2.1538,15.01,11.9,-4.06,7.5,9.5,5.5,7.5,9.5,5.5,16,16
6,00-0036626,Dyami Brown,WR,JAC,Jaguars,1,49,5,2,13,85,0,0,17.0,0.1529,36.45,11.9,26.56,3.0,4.0,2.0,3.0,4.0,2.0,3,3
6,00-0039893,Brian Thomas Jr.,WR,JAC,Jaguars,1,61,10,8,90,108,20,1,10.8,0.8333,59.34,23.81,33.75,19.0,23.0,15.0,19.0,23.0,15.0,8,8
6,00-0039165,Zach Charbonnet,RB,SEA,Seahawks,1,33,1,1,13,3,10,0,3.0,4.3333,6.88,4.17,0.9,4.2,4.7,3.7,4.2,4.7,3.7,13,13
6,00-0033908,Cooper Kupp,WR,SEA,Seahawks,1,39,3,2,40,48,17,1,16.0,0.8333,28.87,12.5,14.46,11.0,12.0,10.0,11.0,12.0,10.0,2,2
6,00-0038543,Jaxon Smith-Njigba,WR,SEA,Seahawks,1,45,13,8,162,176,35,1,13.5385,0.9205,118.36,54.17,53.01,26.2,30.2,22.2,26.2,30.2,22.2,8,8
6,00-0038134,Kenneth Walker III,RB,SEA,Seahawks,1,19,1,1,3,3,0,0,3.0,1.0,6.88,4.17,0.9,4.2,4.7,3.7,4.2,4.7,3.7,11,11
6,00-0033375,Tim Patrick,WR,JAC,Jaguars,1,14,1,1,26,16,10,1,16.0,1.625,7.07,2.38,5.0,9.1,9.6,8.6,9.1,9.6,8.6,1,1
6,00-0038606,Parker Washington,WR,JAC,Jaguars,1,25,4,2,29,70,7,0,17.5,0.4143,29.6,9.52,21.88,3.9,4.9,2.9,3.9,4.9,2.9,2,2
6,00-0040648,Tory Horton,WR,SEA,Seahawks,1,25,1,0,0,41,0,0,41.0,0.0,14.89,4.17,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,00-0039738,Blake Corum,RB,LA,Rams,1,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,2.3,2.3,2.3,2.3,5,5
6,00-0031381,Davante Adams,WR,LA,Rams,1,42,9,4,39,95,5,0,10.5556,0.4105,80.96,34.62,41.48,5.9,7.9,3.9,5.9,7.9,3.9,4,4
6,00-0039075,Puka Nacua,WR,LA,Rams,1,27,3,2,28,38,8,0,12.6667,0.7368,28.92,11.54,16.59,3.8,4.8,2.8,3.8,4.8,2.8,2,2
6,00-0039751,Jordan Whittington,WR,LA,Rams,1,49,4,3,23,15,20,0,3.75,1.5333,27.66,15.38,6.55,3.8,5.3,2.3,3.8,5.3,2.3,3,3
6,00-0037840,Kyren Williams,RB,LA,Rams,1,40,2,2,37,34,3,0,17.0,1.0882,21.93,7.69,14.85,15.7,16.7,14.7,15.7,16.7,14.7,15,15
6,00-0034975,Justice Hill,RB,BAL,Ravens,1,35,6,5,28,12,18,0,2.0,2.3333,31.13,18.18,5.5,6.9,9.4,4.4,6.9,9.4,4.4,11,11
6,00-0039064,Zay Flowers,WR,BAL,Ravens,1,71,10,6,46,85,30,0,8.5,0.5412,72.75,30.3,38.99,7.6,10.6,4.6,7.6,10.6,4.6,6,6
6,00-0032764,Derrick Henry,RB,BAL,Ravens,1,38,2,1,8,8,8,0,4.0,1.0,11.66,6.06,3.67,13.5,14.0,13.0,13.5,14.0,13.0,25,25
6,00-0036550,Rashod Bateman,WR,BAL,Ravens,1,44,2,1,8,18,5,0,9.0,0.4444,14.87,6.06,8.26,1.3,1.8,0.8,1.3,1.8,0.8,1,1
6,00-0030564,DeAndre Hopkins,WR,BAL,Ravens,1,26,4,2,20,58,4,0,14.5,0.3448,36.81,12.12,26.61,3.0,4.0,2.0,3.0,4.0,2.0,2,2
6,00-0040590,Konata Mumpfield,WR,LA,Rams,1,9,2,1,7,16,7,0,8.0,0.4375,16.43,7.69,6.99,1.2,1.7,0.7,1.2,1.7,0.7,1,1
6,00-0037247,George Pickens,WR,DAL,Cowboys,1,46,11,9,168,120,87,1,10.9091,1.4,95.31,34.38,62.5,27.3,31.8,22.8,27.3,31.8,22.8,9,9
6,00-0037666,Jalen Tolbert,WR,DAL,Cowboys,1,50,1,1,8,3,5,0,3.0,2.6667,5.78,3.13,1.56,1.3,1.8,0.8,1.3,1.8,0.8,1,1
6,00-0036997,Javonte Williams,RB,DAL,Cowboys,1,47,8,5,5,0,6,0,0.0,,37.5,25.0,0.0,5.9,8.4,3.4,5.9,8.4,3.4,18,18
6,00-0036139,Rico Dowdle,RB,CAR,Panthers,1,59,5,4,56,26,36,1,5.2,2.1538,49.0,23.81,18.98,31.9,33.9,29.9,31.9,33.9,29.9,34,34
6,00-0040644,Trevor Etienne,RB,CAR,Panthers,1,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,3,3
6,00-0039342,Xavier Legette,WR,CAR,Panthers,1,49,2,2,11,-1,13,0,-0.5,-11.0,13.77,9.52,-0.73,2.1,3.1,1.1,2.1,3.1,1.1,2,2
6,00-0040124,Tetairoa McMillan,WR,CAR,Panthers,1,62,5,3,29,52,0,2,10.4,0.5577,62.28,23.81,37.96,16.4,17.9,14.9,16.4,17.9,14.9,3,3
6,00-0034983,Hunter Renfrow,WR,CAR,Panthers,1,18,2,1,7,13,1,0,6.5,0.5385,20.93,9.52,9.49,1.2,1.7,0.7,1.2,1.7,0.7,1,1
6,00-0039410,Ryan Flournoy,WR,DAL,Cowboys,1,38,6,3,30,16,20,0,2.6667,1.875,33.96,18.75,8.33,4.8,6.3,3.3,4.8,6.3,3.3,4,4
