"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Tee Higgins","WR","CIN","79%","87%","82%","83%","97%","80%","","","","","","","","","","","","","299","85%"
"Marvin Harrison Jr.","WR","ARI","89%","93%","80%","100%","76%","23%","","","","","","","","","","","","","299","76%"
"Michael Wilson","WR","ARI","67%","69%","74%","97%","69%","75%","","","","","","","","","","","","","298","75%"
"Tucker Kraft","TE","GB","92%","91%","88%","95%","bye","92%","","","","","","","","","","","","","298","92%"
"Rome Odunze","WR","CHI","94%","100%","90%","76%","bye","97%","","","","","","","","","","","","","298","91%"
"Jake Tonges","TE","SF","39%","79%","69%","68%","73%","83%","","","","","","","","","","","","","296","68%"
"Alvin Kamara","RB","NO","79%","86%","74%","73%","56%","62%","","","","","","","","","","","","","295","72%"
"Justin Fields","QB","NYJ","100%","62%","0%","100%","100%","100%","","","","","","","","","","","","","295","94%"
"Kyren Williams","RB","LAR","82%","70%","76%","68%","91%","75%","","","","","","","","","","","","","295","77%"
"Zay Flowers","WR","BAL","90%","79%","86%","89%","84%","91%","","","","","","","","","","","","","295","87%"
"Travis Kelce","TE","KC","84%","77%","74%","66%","80%","70%","","","","","","","","","","","","","294","75%"
"Rashid Shaheed","WR","NO","85%","70%","74%","70%","67%","61%","","","","","","","","","","","","","293","72%"
"Tony Pollard","RB","TEN","89%","89%","91%","86%","73%","43%","","","","","","","","","","","","","292","79%"
"Keon Coleman","WR","BUF","88%","51%","75%","73%","62%","86%","","","","","","","","","","","","","292","72%"
"Puka Nacua","WR","LAR","63%","69%","91%","81%","93%","51%","","","","","","","","","","","","","291","76%"
"Elic Ayomanor","WR","TEN","79%","73%","74%","82%","72%","93%","","","","","","","","","","","","","291","78%"
"Justin Jefferson","WR","MIN","98%","100%","80%","100%","100%","bye","","","","","","","","","","","","","291","96%"
"Mac Jones","QB","SF","0%","100%","100%","0%","100%","100%","","","","","","","","","","","","","291","100%"
"Quentin Johnston","WR","LAC","82%","76%","87%","92%","82%","0%","","","","","","","","","","","","","285","84%"
"Andrei Iosivas","WR","CIN","65%","84%","62%","90%","87%","94%","","","","","","","","","","","","","285","81%"
"Brandin Cooks","WR","NO","76%","68%","70%","90%","45%","64%","","","","","","","","","","","","","282","69%"
"Deebo Samuel Sr.","WR","WAS","77%","88%","43%","86%","78%","72%","","","","","","","","","","","","","282","75%"
"AJ Barner","TE","SEA","85%","89%","54%","86%","80%","78%","","","","","","","","","","","","","282","79%"
"DJ Moore","WR","CHI","84%","88%","90%","76%","bye","94%","","","","","","","","","","","","","281","86%"
"JuJu Smith-Schuster","WR","KC","80%","70%","69%","78%","66%","62%","","","","","","","","","","","","","280","71%"
"De'Von Achane","RB","MIA","73%","93%","77%","76%","87%","90%","","","","","","","","","","","","","280","83%"
"Jaylen Waddle","WR","MIA","65%","82%","87%","90%","89%","81%","","","","","","","","","","","","","280","83%"
"Kyle Pitts Sr.","TE","ATL","78%","80%","82%","74%","bye","93%","","","","","","","","","","","","","279","81%"
"Jake Ferguson","TE","DAL","77%","73%","57%","78%","55%","67%","","","","","","","","","","","","","278","68%"
"Aaron Rodgers","QB","PIT","100%","95%","100%","100%","bye","95%","","","","","","","","","","","","","278","98%"
"Cole Kmet","TE","CHI","90%","90%","93%","100%","bye","52%","","","","","","","","","","","","","277","85%"
"Kayshon Boutte","WR","NE","82%","72%","76%","69%","62%","67%","","","","","","","","","","","","","271","72%"
"Romeo Doubs","WR","GB","71%","74%","89%","90%","bye","85%","","","","","","","","","","","","","269","83%"
"Cooper Kupp","WR","SEA","88%","69%","54%","74%","89%","71%","","","","","","","","","","","","","264","74%"
